ID ,UploadTime ,DateTake ,"Camera" ,Size ,Aperture ,ExposureTime ,FocalLength ,ISOSpeedRatings ,MeteringMode ,TotalHits ,Uploaded_diff
256821294,1384841067,1384513095,"Apple - iPhone 5",148671,f/2.4,0.050 s (1/20),4 mm,125,Pattern,148671,327972
166583811,1298626776,1298560109,"Apple - iPhone 4",3857697,f/2.8,0.067 s (1/15),3 mm,80,Average,3857697,66667
163809625,1295366366,1295279417,"Apple - iPhone 4",1742852,f/2.8,0.048 s (1/21),3 mm,80,Average,1742852,86949
168094371,1300051127,1299481057,"Apple - iPhone 4",350874,f/2.4,0.001 s (1/1400),3 mm,125,Average,350874,570070
163565295,1295012146,1294971036,"Apple - iPhone 4",4715157,f/2.8,0.000 s (1/4300),3 mm,80,Average,4715157,41110
164004145,1295618756,1295152514,"Apple - iPhone 4",2663033,f/2.8,0.006 s (1/181),3 mm,80,Average,2663033,466242
142078906,1265357780,1265352671,"Apple - iPhone 3GS",139779,f/2.8,0.067 s (1/15),3 mm,339,Average,139779,5109
199188418,1374402658,1374285055,"Apple - iPhone 4S",2651712,f/2.4,0.000 s (1/13889),4 mm,64,Spot,2651712,117603
199188576,1374402726,1374286086,"Apple - iPhone 4S",2646604,f/2.4,0.001 s (1/1727),4 mm,64,Pattern,2646604,116640
191941830,1330876815,1330866505,"Sony Ericsson - LT26i",2467075,f/2.4,0.016 s (1/64),4 mm,160,CenterWeightedAverage,2467075,10310
191941984,1330876940,1330870869,"Sony Ericsson - LT26i",1565854,f/2.4,0.050 s (1/20),4 mm,800,CenterWeightedAverage,1565854,6071
191941952,1330876908,1330870763,"Sony Ericsson - LT26i",1517984,f/2.4,0.167 s (1/6),4 mm,250,CenterWeightedAverage,1517984,6145
145403104,1269200232,1268266035,"Apple - iPhone 3GS",128028,f/2.8,0.008 s (1/120),3 mm,82,Average,128028,934197
142078360,1265357208,1265352635,"Apple - iPhone 3GS",150723,f/2.8,0.067 s (1/15),3 mm,414,Average,150723,4573
142078681,1265357593,1265352649,"Apple - iPhone 3GS",147860,f/2.8,0.067 s (1/15),3 mm,255,Average,147860,4944
142078574,1265357401,1265352600,"Apple - iPhone 3GS",117990,f/2.8,0.067 s (1/15),3 mm,399,Average,117990,4801
191941940,1330876895,1330870537,"Sony Ericsson - LT26i",1463037,f/2.4,0.167 s (1/6),4 mm,640,CenterWeightedAverage,1463037,6358
191941996,1330876955,1330870913,"Sony Ericsson - LT26i",1677259,f/2.4,0.167 s (1/6),4 mm,400,CenterWeightedAverage,1677259,6042
191941862,1330876832,1330866949,"Sony Ericsson - LT26i",2076011,f/2.4,0.016 s (1/64),4 mm,250,CenterWeightedAverage,2076011,9883
