鄉鎮市區,土地區段位置或建物區門牌,建築完成年月,編號
北投區,臺北市北投區公館路209巷26號,1031230,RPROMLKMLHKFFEA47CA
北投區,臺北市北投區公館路209巷2號,1031230,RPOOMLNLLHKFFEA37CA
北投區,臺北市北投區尊賢街290號,1031230,RPXPMLKLMHKFFEA18CA
信義區,臺北市信義區市民大道六段310號,1031227,RPUOMLOKMHKFFDA97CA
信義區,臺北市信義區市民大道六段314號,1031227,RPUNMLLLMHKFFDA67CA
信義區,臺北市信義區市民大道六段304號,1031227,RPWNMLLLMHKFFDA87CA
信義區,臺北市信義區市民大道六段323號,1031227,RPOPMLOKMHKFFDA47CA
信義區,臺北市信義區市民大道六段327號,1031227,RPRPMLOKMHKFFDA77CA
信義區,臺北市信義區市民大道六段317號,1031227,RPUPMLOKMHKFFDA08CA
信義區,臺北市信義區市民大道六段322號,1031227,RPUQMLOKMHKFFDA18CA
信義區,臺北市信義區市民大道六段311號,1031227,RPPQMLOKMHKFFDA67CA
信義區,臺北市信義區市民大道六段301號,1031227,RPVOMLQKMHKFFDA28CA
信義區,臺北市信義區市民大道六段306號,1031227,RPOPMLQKMHKFFDA67CA
信義區,臺北市信義區市民大道六段324號,1031227,RPTPMLQKMHKFFDA18CA
信義區,臺北市信義區市民大道六段314號,1031227,RPQNMLRKMHKFFDA77CA
信義區,臺北市信義區市民大道六段319號,1031227,RPOOMLRKMHKFFDA67CA
信義區,臺北市信義區市民大道六段308號,1031227,RPQOMLRKMHKFFDA87CA
信義區,臺北市信義區市民大道六段313號,1031227,RPTOMLLLMHKFFDA67CA
信義區,臺北市信義區市民大道六段303號,1031227,RPRQMLQKMHKFFDA08CA
信義區,臺北市信義區市民大道六段321號,1031227,RPTQMLQKMHKFFDA28CA
信義區,臺北市信義區市民大道六段326號,1031227,RPPRMLQKMHKFFDA97CA
信義區,臺北市信義區市民大道六段315號,1031227,RPTOMLRKMHKFFDA18CA
信義區,臺北市信義區市民大道六段305號,1031227,RPVOMLRKMHKFFDA38CA
中山區,臺北市中山區中山北路二段130號,1031222,RPRPMLRJMHKFFCA87CA
中山區,臺北市中山區中山北路二段148號,1031222,RPWOMLRJMHKFFCA28CA
中山區,臺北市中山區中山北路二段124號,1031222,RPPPMLRJMHKFFCA67CA
中山區,臺北市中山區中山北路二段143號,1031222,RPQOMLRJMHKFFCA67CA
中山區,臺北市中山區中山北路二段132號,1031222,RPRQMLRJMHKFFCA97CA
中山區,臺北市中山區中山北路二段137號,1031222,RPWPMLRJMHKFFCA38CA
中山區,臺北市中山區中山區中山北路二段127號,1031222,RPTOMLRJMHKFFCA97CA
中山區,臺北市中山區中山北路二段145號,1031222,RPVPMLRJMHKFFCA28CA
中山區,臺北市中山區中山北路二段121號,1031222,RPTQMLRJMHKFFCA18CA
中山區,臺北市中山區樂群二路116巷50號,1031215,RPSNMLOKMHKFFCA57CA
中山區,臺北市中山區樂群二路116巷54號,1031215,RPTNMLOKMHKFFCA67CA
內湖區,臺北市內湖區新富街44號,1031212,RPWOMLTJMHKFFCA48CA
內湖區,臺北市內湖區新富街34號,1031212,RPXOMLTJMHKFFCA58CA
內湖區,臺北市內湖區新富街38號,1031212,RPOPMLTJMHKFFCA77CA
內湖區,臺北市內湖區新富街57號,1031212,RPQPMLTJMHKFFCA97CA
內湖區,臺北市內湖區新富街46號,1031212,RPRPMLTJMHKFFCA08CA
