鄉鎮市區,土地區段位置或建物區門牌,建築完成年月,編號,y,x
士林區,臺北市士林區中山北路五段829巷38號,1030411,RPPPMLNLLHKFFEA77CC,25.03757,121.55283050000003
士林區,臺北市士林區通河街21號,1011112,RPSOMLSKLHKFFEA38CC,25.0300803,121.55158010000002
士林區,臺北市士林區芝玉路一段17巷15號,1000720,RPRNMLSLLHKFFEA28CC,25.0292093,121.54416659999993
士林區,臺北市士林區中山北路七段81巷28弄10號,1000623,RPPNMLRKLHKFFEA87CC,25.0322507,121.55265729999996
士林區,臺北市士林區磺溪街64號,990730,RPQNMLSLLHKFFEA18CC,25.0160274,121.54314290000002
士林區,臺北市士林區士東路266巷15弄12號,971229,RPSNMLPLLHKFFEA08CC,25.0330619,121.55296350000003
士林區,臺北市士林區中山北路六段195巷6號,970506,RPTNMLPLLHKFFEA18CC,25.0330696,121.55225910000001
士林區,臺北市士林區德行東路241號,960528,RPWQMLOLLHKFFEA68CC,25.0389591,121.5445575
士林區,臺北市士林區劍潭路84號,960122,RPUNMLOLLHKFFEA18CC,25.0484993,121.52776100000005
士林區,臺北市士林區基河路3號,931231,RPSNMLSKLHKFFEA28CC,25.0566484,121.52553009999997
士林區,臺北市士林區福華路177號,931231,RPUOMLSKLHKFFEA58CC,25.0633473,121.52191560000006
士林區,臺北市士林區福華路171號,931231,RPSPMLKMLHKFFEA87CC,25.0503735,121.52640859999997
士林區,臺北市士林區中正路705號,930518,RPUQMLLMLHKFFEA28CC,25.0659419,121.52567010000007
士林區,臺北市士林區天母北路35號,910425,RPWNMLQLLHKFFEA58CC,25.0650644,121.52556440000001
士林區,臺北市士林區德行西路58號,821230,RPXOMLKMLHKFFEA28CC,25.0475068,121.5278644
士林區,臺北市士林區忠誠路二段10巷53號,810331,RPSNMLTKLHKFFEA38CC,25.0480249,121.52559300000007
士林區,臺北市士林區忠誠路二段242號,780524,RPSOMLTKLHKFFEA48CC,25.0517765,121.53208999999993
士林區,臺北市士林區忠誠路二段55號,761116,RPRPMLKMLHKFFEA77CC,25.0566486,121.5254933
士林區,臺北市士林區忠誠路二段40巷19號,760324,RPQNMLSKLHKFFEA08CC,25.05613,121.52561000000003
士林區,臺北市士林區天母東路44號,751017,RPXOMLNLLHKFFEA48CC,25.056048,121.52561300000002
士林區,臺北市士林區天母東路52號,751017,RPSNMLSLLHKFFEA38CC,25.0550754,121.52361029999997
士林區,臺北市士林區天玉街38巷16號,740126,RPUOMLTKLHKFFEA68CC,25.0826403,121.5589314
士林區,臺北市士林區忠誠路一段41號,740118,RPWOMLTKLHKFFEA88CC,25.0608985,121.52542110000002
士林區,臺北市士林區士東路91巷5號,730120,RPQNMLPLLHKFFEA97DC,25.057438,121.52350590000003
士林區,臺北市士林區天母北路13號,720302,RPROMLPLLHKFFEA08CC,25.0654128,121.52567620000002
士林區,臺北市士林區天母西路7號,710210,RPTNMLLMLHKFFEA87CC,25.0552958,121.52783
士林區,臺北市士林區天母東路8巷32號,701214,RPWNMLKMLHKFFEA08CC,25.0572381,121.52551800000003
士林區,臺北市士林區天母東路8巷55號,701214,RPRNMLLMLHKFFEA67CC,25.0647867,121.52589979999993
士林區,臺北市士林區天玉街75巷4號,671229,RPROMLRKLHKFFEA18CC,25.0650066,121.5242058
士林區,臺北市士林區中山北路七段14巷58號,660901,RPUOMLLMLHKFFEA08CC,25.0650058,121.52480489999994
士林區,臺北市士林區天母西路82號,660609,RPQOMLQKLHKFFEA97CC,25.0502426,121.52302789999999
大同區,臺北市大同區承德路三段226號,1020419,RPTOMLKMLHKFFBA57CC,25.0853391,121.55189059999998
大同區,臺北市大同區市民大道一段205號,980724,RPROMLTKLHKFFBA08CC,25.0498419,121.52468490000001
大同區,臺北市大同區市民大道一段199號,980724,RPUNMLRLLHKFFBA18CC,25.0498419,121.52468490000001
大同區,臺北市大同區市民大道一段193號,980724,RPVNMLKMLHKFFBA67CC,25.0498419,121.52468490000001
大同區,臺北市大同區市民大道一段188號,980724,RPWNMLKMLHKFFBA77CC,25.0454604,121.5351101
大同區,臺北市大同區市民大道ㄧ段196號,980724,RPXNMLKMLHKFFBA87CC,25.079423,121.55563689999997
大同區,臺北市大同區敦煌路80巷10號,970516,RPUOMLSKLHKFFBA28CC,25.0641318,121.52517460000001
大同區,臺北市大同區延平北路二段144巷4號,831215,RPVOMLSKLHKFFBA48DC,25.0837377,121.5508797
大同區,臺北市大同區重慶北路一段83巷58號,830205,RPSNMLKLLHKFFBA27CC,25.0593147,121.52474870000003
大同區,臺北市大同區重慶北路二段97號,790725,RPSNMLQLLHKFFBA87CC,25.0594016,121.52500399999997
大同區,臺北市大同區民生西路61號,751002,RPPOMLOLLHKFFBA47CC,25.0638806,121.52197569999998
大同區,臺北市大同區寧夏路25號,551114,RPUOMLLMLHKFFBA77CC,25.0783846,121.54629030000001
大安區,臺北市大安區信義路三段152巷19號,1020116,RPOOMLQLLHKFFFA97CC,25.0573375,121.52476530000001
大安區,臺北市大安區信義路三段147號,1011025,RPPNMLRKLHKFFFA97CC,25.0483503,121.54042149999998
大安區,臺北市大安區永康街82號,1000427,RPTNMLSLLHKFFFA58CC,25.0531544,121.52352829999995
大安區,臺北市大安區麗水街16號,1000322,RPXNMLQLLHKFFFA78CC,25.0482911,121.53314569999998
大安區,臺北市大安區和平東路二段96巷15弄40號,1000321,RPVNMLTKLHKFFFA78CC,25.0461993,121.53318130000002
大安區,臺北市大安區忠孝東路四段26巷78號,990212,RPWOMLNLLHKFFFA48CC,25.0508949,121.53560760000005
大安區,臺北市大安區信義路三段163號,970903,RPTNMLSKLHKFFFA48CC,25.057204,121.52704300000005
大安區,臺北市大安區永康街4巷7號,960911,RPQOMLKMLHKFFFA67CC,25.0633067,121.5256465
大安區,臺北市大安區杭州南路65巷1號,960313,RPPNMLTLLHKFFFA28CC,25.0780384,121.54902770000001
大安區,臺北市大安區復興南路一段130號,950424,RPQNMLRLLHKFFFA18CC25.0672638,121.52283220000004
大安區,臺北市大安區仁愛路四段222巷4號,940202,RPUNMLSKLHKFFFA58CC,25.048133,121.53278279999995
大安區,臺北市大安區仁愛路四段222巷27號,940202,RPTNMLOLLHKFFFA18CC,25.0462889,121.53149699999994
大安區,臺北市大安區和平東路三段82號,930219,RPROMLTKLHKFFFA58DC,25.0496699,121.52751609999996
大安區,臺北市大安區和平東路一段119巷1號,920919,實際租金43000元,25.061714,121.54397700000004
大安區,臺北市大安區信義路4四段265巷54號,910305,RPTOMLKMLHKFFFA97CC,25.0554185,121.52705949999995
大安區,臺北市大安區復興南路二段18號,840907,RPQOMLTKLHKFFFA38CC,25.0652206,121.5412748
大安區,臺北市大安區安和路一段102巷13號,790514,RPVNMLSKLHKFFFA68CC,25.083083,121.54712700000005
大安區,臺北市大安區敦化南路二段201號,781014,RPQNMLRKLHKFFFA08CC,25.0649386,121.52290579999999
大安區,臺北市大安區忠孝東路三段10巷15號,780524,RPSNMLSKLHKFFFA38CC,25.0590233,121.52919569999995
大安區,臺北市大安區復興南路二段70號,750801,RPVOMLNLLHKFFFA38CC,25.0641586,121.52373009999997
大安區,臺北市大安區復興南路二段64號,750801,RPUOMLKMLHKFFFA08CC,25.0526204,121.5332651
大安區,臺北市大安區和平東路一段162號,730320,RPOOMLTKLHKFFFA18CC,25.061674,121.53538679999997
大安區,臺北市大安區復興南路一段107巷7號,730216,RPPOMLLMLHKFFFA67CC,25.0510612,121.54388870000002
