SNO,RELIGION_TYPE,CB_NAME,CB_SNAME,PTNAME1,V_NAME,CB_REG_TITLE,PRESIDENT_NAME,CB_TEL,TOTAL_ADDR,R_STREET,R_SECTION,R_LANE,R_ALLEY,R_NO,R_OTHER,TOTAL_ADDR_rebuild,WGS84_Y_rebuild,WGS84_X_rebuild,WGS84_X,WGS84_Y,TM97_X,TM97_Y,DATA_STR,REG_NO,CB_PRESIDENT_NAME,total_addr2
R0001,財團法人寺廟,財團法人台北市松山慈祐宮,媽祖廟,松山區,慈祐里,道教,陳玉峰,27669212,八德路4段761號,八德路,4段,,,761號,,松山區慈祐里八德路4段761號,25.0502713,121.5792777,121.5777168,25.05105857,308291.278,2771557.324,農曆3月23日(天上聖母聖誕)|,100證他字第789號登記簿第19冊第13頁第272號,,
R0002,未成立財團法人寺廟,妙光寺,,士林區,福林里,佛教,洪寶惜,28812072,,至善路,1段,138巷,24弄,8號,,士林區福林里至善路1段138巷24弄8號,25.095246,121.539497,121.5396189,25.09543572,304427.438,2776456.995,農曆4月6日|,北市民宗字第10430454000號,,
R0003,財團法人寺廟,財團法人台北市妙德蘭若,,士林區,永福里,佛教,陳桂蓉,28316390,仰德大道2段41巷24號,仰德大道,2段,41巷,,24號,,士林區永福里仰德大道2段41巷24號,25.105691,121.542447,121.5424508,25.1056664,304708.531,2777591.347,農曆4月8日(浴佛節)|,103證他字第44號登記簿第4冊第25頁第83號,,
R0004,未成立財團法人寺廟,慈悟寺,,士林區,天母里,佛教,許梅春,28732819,,中山北路,7段,219巷,,167號,,士林區天母里中山北路7段219巷167號,25.1335497,121.5326456,121.5325221,25.13365062,303695.03,2780687.059,農曆7月24日|,北市民三字第 09532008700號,,
R0005,財團法人寺廟,財團法人台北市南海普陀山慧濟寺,,士林區,天母里,佛教,楊旦華,28715131,中山北路7段190巷34之1號,中山北路,7段,190巷,,34之1號,,士林區天母里中山北路7段190巷34之1號,25.12634,121.536201,121.5361691,25.12634807,304065.96,2779879.636,農曆每月13日|農曆每月19日|,102證他字第350號登記簿第21冊第31頁第426號,,
R0006,未成立財團法人寺廟,金鶴宮,,士林區,東山里,道教,廖金超,28711761,,東山路,,25巷,,112號,,士林區東山里東山路25巷112號,25.1204351,121.5434943,121.5434858,25.12039599,304806.42,2779223.297,,,,
R0007,未成立財團法人寺廟,妙法寺,,士林區,溪山里,佛教,釋悟慈,28412600、28411919,,至善路,3段,,,307號,,士林區溪山里至善路3段307號,25.1231955,121.5871085,121.5870404,25.12345235,309197.18,2779580.272,農曆2月19日|,北市民宗字第 10430417200 號,,
R0008,未成立財團法人寺廟,台北府城隍廟,,松山區,慈祐里,道教,楊榮次,27692220、27672195,虎林街3號,虎林街,,,,3號,,松山區慈祐里虎林街3號,25.047184,121.577092,121.5761925,25.04951208,308138.202,2771385.357,農曆7月1日|農曆7月6日|農曆7月14日|農曆7月29日|,北市民宗字第10331654000號,,
R0009,未成立財團法人寺廟,松山霞海城隍廟,海城隍,松山區,慈祐里,道教,沈宗陳,27652046,八德路4段439號,八德路,4段,,,439號,,松山區慈祐里八德路4段439號,25.04991,121.5701706,121.570228,25.04987195,307536.213,2771422.748,農曆5月13日(霞海城隍聖誕)|,北市民宗字第10331702100號,,
R0010,未成立財團法人寺廟,松山慈福宮,,松山區,慈祐里,道教,陳秋和,27686479,八德路4段829巷26號,八德路,4段,829巷,,26號,,松山區慈祐里八德路4段829巷26號,25.0481251,121.5588088,121.570228,25.04987195,308501.6956,2771654.46,農曆2月2日|,北市民宗字第10330994700號,,
R0011,財團法人寺廟,財團法人台北市放生念佛會,放生會,松山區,吉仁里,佛教,念禎祥,25776463,延吉街33號,延吉街,,,,33號,,松山區吉仁里延吉街33號,25.045785,121.5537171,121.570228,25.04987195,0,0,農曆4月8日(釋迦牟尼佛聖誕)|,102證他字第927號登記簿第22冊第17頁第335號,,
R0012,未成立財團法人寺廟,法光寺,,松山區,復勢里,佛教,郭麗菊,25791940,,光復北路,,60巷,,20號,,松山區復勢里光復北路60巷20號,25.049964,121.55694,121.5570959,25.04981632,306211.143,2771411.071,農曆4月2日|,北市民宗字第10332465300號,,
R0013,未成立財團法人寺廟,福德宮,土地公廟,松山區,吉祥里,道教,楊樹木,27671417,,八德路,4段,181巷,16弄,11號,,松山區吉祥里八德路4段181巷16弄11號,25.0493555,121.5630858,121.5629534,25.04924512,306802.435,2771350.256,農曆每月1日|農曆每月2日|農曆每月15日|農曆每月16日|,北市民宗字第10333336300號,,
R0014,財團法人寺廟,財團法人台北市中崙福成宮,中崙福成宮,松山區,福成里,道教,何春長,27516796,市民大道4段71號,市民大道,4段,,,71號,,松山區福成里市民大道4段71號,25.0453464,121.5469414,121.5470077,25.04530755,305195.197,2770907.467,農曆2月2日|農曆8月15日|,102證他字第913號登記簿第20冊第19頁第291號,,
R0015,未成立財團法人寺廟,台北佛教蓮社,佛教蓮社,松山區,東光里,佛教,蕭鴻川,27681522,,南京東路,5段,59巷,29弄,4號,,松山區東光里南京東路5段59巷29弄4號,25.052986,121.5595848,121.5595527,25.05294931,306457.617,2771759.13,農曆4月8日(釋迦佛聖誕)|農曆11月17日|,北市民宗字第10430599400號,,
R0016,未成立財團法人寺廟,台北天后宮,天后宮,萬華區,西門里,道教,黃秀福,23310421,成都路51號,成都路,,,,51號,,萬華區西門里成都路51號,25.042788,121.506328,121.5063253,25.04276507,301091.198,2770609.892,農曆3月23日(天上聖母聖誕)|,北市民宗字第10332211500號,,
R0017,未成立財團法人寺廟,新約龍華佛教聖國山保安堂,保安堂,萬華區,富民里,佛教,蘇耀南,23114785,康定路188巷4弄6號,康定路,,188巷,4弄,6號,,萬華區富民里康定路188巷4弄6號,25.0389215,121.5014116,121.5063253,25.04276507,300600.594,2770179.669,農曆2月19日|,北市民宗字第10333338600號,,
R0018,財團法人寺廟,財團法人台北市木柵忠順廟,,文山區,順興里,道教,陳 乾,29394852,中崙路13號,中崙路,,,,13號,,文山區順興里中崙路13號,24.9836509,121.564602,121.5646259,24.98360767,307001.507,2764080.58,農曆4月10日(保儀大夫誕辰)|,102證他字第964號登記簿第25冊第27頁第426號,,
R0021,未成立財團法人寺廟,巖清寺,巖清寺,萬華區,銘德里,佛教,陳郭瓊璿,23058490,,環河南路,3段,,,203號,,萬華區銘德里環河南路3段203號,25.021578,121.492334,121.5646259,24.98360767,299687.2876,2768242.73,農曆4月8日|,北市民宗字第10430416900號,,
R0022,未成立財團法人寺廟,指南宮,,文山區,指南里,道教,高忠信,29399922,萬壽路115號,萬壽路,,,,115號,,文山區指南里萬壽路115號,24.9798453,121.5866321,121.5866318,24.97986358,309224.953,2763675.198,農曆5月18日(孚佑帝君誕辰)|,北市民宗字第10332426300號,,
R0023,未成立財團法人寺廟,艋舺青山宮,青山宮,萬華區,青山里,道教,黃應時,23822296,貴陽街2段218號,貴陽街,2段,,,218號,,萬華區青山里貴陽街2段218號,25.0399968,121.4995367,121.4995082,25.03999691,300404.386,2770300.724,農曆10月22日(靈安尊王聖誕)|,北市民宗字第10333216400號,,
R0024,未成立財團法人寺廟,松山福德宮,中街土地公,松山區,慈祐里,道教,郭良塗,27607306、27672381,,饒河街,,,,92號,,松山區慈祐里饒河街92號,25.050362,121.5733519,121.5741203,25.05035404,307928.719,2771477.756,農曆2月2日(福德正神聖誕)|農曆8月15日(福德正神聖誕)|,北市民宗字第10333207700號,,
R0025,未成立財團法人寺廟,大橋頭福德廟,,大同區,景星里,道教,劉丁柱,25946697,迪化街2段22號,迪化街,2段,,,22號,,大同區景星里迪化街2段22號,25.0638831,121.5092222,121.5741203,25.05035404,301390.6407,2772958.54,農曆2月2日|農曆8月15日|,北市民宗字第10431307500號,,
